typeAction,quantity,lmtPrice,delta,ratio,time
BUY,20000,1.2228,0.0005,False,2020-12-28 09:15:31.559664
BUY,20000,1.2233,0.0005,False,2020-12-28 09:17:24.264255
BUY,20000,1.2238,0.0005,False,2020-12-28 09:38:25.840496
BUY,20000,1.2233,0.0005,False,2020-12-28 09:39:53.016180
BUY,20000,1.2243,0.0005,False,2020-12-28 10:48:47.462109
BUY,20000,1.22495,0.0005,False,2020-12-28 10:52:56.778221
BUY,20000,1.22445,0.0005,False,2020-12-28 11:09:52.259259
BUY,20000,1.22395,0.0005,False,2020-12-28 11:12:53.861598
BUY,20000,1.22345,0.0005,False,2020-12-28 11:14:07.854621
BUY,20000,1.22295,0.0005,False,2020-12-28 11:16:20.303352
BUY,20000,1.22245,0.0005,False,2020-12-28 11:17:04.120329
BUY,20000,1.22245,0.0005,False,2020-12-28 11:19:30.974757
BUY,20000,1.22245,0.0005,False,2020-12-28 11:26:48.976965
BUY,20000,1.22195,0.0005,False,2020-12-28 11:27:28.644413
BUY,20000,1.22145,0.0005,False,2020-12-28 11:28:49.150086
BUY,20000,1.22145,0.0005,False,2020-12-28 11:36:53.570681
BUY,20000,1.22085,0.0005,False,2020-12-28 11:40:17.598255
BUY,20000,1.22095,0.0005,False,2020-12-28 12:18:33.195067
BUY,20000,1.22045,0.0005,False,2020-12-28 12:25:24.128383
BUY,20000,1.21995,0.0005,False,2020-12-28 12:43:21.007376
BUY,20000,1.21945,0.0005,False,2020-12-28 12:44:52.996944
BUY,20000,1.21945,0.0005,False,2020-12-28 12:55:42.069001
BUY,20000,1.22145,0.0005,False,2020-12-28 14:19:59.520023
BUY,20000,1.22145,0.0005,False,2020-12-28 14:58:21.829101
BUY,20000,1.22095,0.0005,False,2020-12-28 15:01:39.094713
BUY,20000,1.22295,0.0005,False,2020-12-28 15:38:14.886959
BUY,20000,1.22345,0.0005,False,2020-12-28 15:52:10.405224
BUY,20000,1.22295,0.0005,False,2020-12-28 16:14:21.500733
BUY,20000,1.22245,0.0005,False,2020-12-28 16:36:25.111008
BUY,20000,1.22195,0.0005,False,2020-12-28 16:40:45.618672
BUY,20000,1.22145,0.0005,False,2020-12-28 16:46:10.050150
BUY,20000,1.22095,0.0005,False,2020-12-28 16:56:11.826206
BUY,20000,1.22245,0.0005,False,2020-12-28 17:16:33.207665
BUY,20000,1.22195,0.0005,False,2020-12-28 17:18:51.338053
BUY,20000,1.22145,0.0005,False,2020-12-28 17:36:19.514466
BUY,20000,1.22095,0.0005,False,2020-12-28 18:13:16.472983
BUY,20000,1.2209,0.0005,False,2020-12-28 18:23:01.775872
BUY,20000,1.22095,0.0005,False,2020-12-28 18:42:32.482036
BUY,20000,1.22045,0.0005,False,2020-12-28 19:44:38.944900
BUY,20000,1.22045,0.0005,False,2020-12-28 20:34:58.589064
BUY,20000,1.22045,0.0005,False,2020-12-28 21:32:23.525764
BUY,20000,1.22095,0.0005,False,2020-12-28 22:13:49.422087
BUY,20000,-0.99995,0.0005,False,2020-12-28 22:59:59.026036
BUY,20000,1.21915,0.0005,False,2020-12-28 23:14:58.989615
BUY,20000,1.22005,0.0005,False,2020-12-28 23:14:59.129807
BUY,20000,1.22095,0.0005,False,2020-12-28 23:28:17.941230
