typeAction,quantity,lmtPrice,delta,ratio,time
BUY,20000,1.2189,0.0005,False,2020-12-23 09:06:11.082437
BUY,20000,1.2184,0.0005,False,2020-12-23 09:07:10.995096
BUY,20000,1.2179,0.0005,False,2020-12-23 09:18:50.698173
BUY,20000,1.2174,0.0005,False,2020-12-23 09:21:22.427205
BUY,20000,1.2194,0.0005,False,2020-12-23 10:03:30.520113
BUY,20000,1.2189,0.0005,False,2020-12-23 10:21:57.865578
BUY,20000,1.2199,0.0005,False,2020-12-23 10:30:32.323036
BUY,20000,1.2194,0.0005,False,2020-12-23 10:39:16.431615
BUY,20000,1.2189,0.0005,False,2020-12-23 11:03:12.321480
BUY,20000,1.2189,0.0005,False,2020-12-23 11:23:21.948339
BUY,20000,1.2184,0.0005,False,2020-12-23 11:30:40.541477
BUY,20000,1.2184,0.0005,False,2020-12-23 11:42:23.032522
BUY,20000,1.2179,0.0005,False,2020-12-23 11:46:01.524813
BUY,20000,1.2189,0.0005,False,2020-12-23 12:31:02.038288
BUY,20000,1.2189,0.0005,False,2020-12-23 12:58:53.313413
BUY,20000,1.2189,0.0005,False,2020-12-23 13:18:12.785635
BUY,20000,1.2184,0.0005,False,2020-12-23 13:30:10.968299
BUY,20000,1.2179,0.0005,False,2020-12-23 14:01:36.422545
BUY,20000,1.2174,0.0005,False,2020-12-23 14:07:34.520715
BUY,20000,1.2169,0.0005,False,2020-12-23 14:10:53.667604
BUY,20000,1.2164,0.0005,False,2020-12-23 14:12:26.832496
BUY,20000,1.2179,0.0005,False,2020-12-23 14:56:09.853294
BUY,20000,1.2174,0.0005,False,2020-12-23 14:57:39.639483
BUY,20000,1.2174,0.0005,False,2020-12-23 15:02:08.590366
BUY,20000,1.2204,0.0005,False,2020-12-23 15:30:55.056956
BUY,20000,1.2209,0.0005,False,2020-12-23 15:32:22.113593
BUY,20000,1.2214,0.0005,False,2020-12-23 15:32:32.583038
BUY,20000,1.2209,0.0005,False,2020-12-23 15:34:01.823074
BUY,20000,1.2219,0.0005,False,2020-12-23 15:44:48.861471
BUY,20000,1.2214,0.0005,False,2020-12-23 15:45:53.788768
BUY,20000,1.2214,0.0005,False,2020-12-23 15:56:39.839843
BUY,20000,1.2209,0.0005,False,2020-12-23 15:58:02.898708
BUY,20000,1.2209,0.0005,False,2020-12-23 16:03:56.625333
BUY,20000,1.2209,0.0005,False,2020-12-23 16:06:19.968858
BUY,20000,1.2209,0.0005,False,2020-12-23 16:10:18.026783
BUY,20000,1.2214,0.0005,False,2020-12-23 16:16:00.970631
BUY,20000,1.2209,0.0005,False,2020-12-23 16:22:12.812630
BUY,20000,1.2204,0.0005,False,2020-12-23 16:23:22.879616
BUY,20000,1.2204,0.0005,False,2020-12-23 16:38:54.724895
BUY,20000,1.2199,0.0005,False,2020-12-23 16:40:39.508147
BUY,20000,1.2199,0.0005,False,2020-12-23 16:47:04.898491
BUY,20000,1.2194,0.0005,False,2020-12-23 16:52:48.187142
BUY,20000,1.2189,0.0005,False,2020-12-23 16:54:23.446777
BUY,20000,1.2184,0.0005,False,2020-12-23 16:56:41.892895
BUY,20000,1.2194,0.0005,False,2020-12-23 17:15:11.406067
BUY,20000,1.2194,0.0005,False,2020-12-23 17:31:46.747246
BUY,20000,1.2194,0.0005,False,2020-12-23 17:57:51.362748
BUY,20000,1.2189,0.0005,False,2020-12-23 18:32:04.311627
BUY,20000,1.2184,0.0005,False,2020-12-23 18:40:47.794803
BUY,20000,1.2184,0.0005,False,2020-12-23 18:49:16.228263
